title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images,administration,bodega,cocina,conservation_state,construction_age,construction_year,deposit,elevator,finish_quality,floor,interior_exterior,location_quality,loft,mezanine,price_per_m2,property_code,study_room,terrace_area,walking_closet
,$ 362.975.318,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Casa en venta en colina campestre, bogotá",$ 960.000.000,,170 m²,,4.0,,,Casa,VENTA,Balcón; Parqueadero; Estudio; Terraza,,https://www.fincaraiz.com.co/casa-en-venta-en-colina-campestre-bogota/193136951,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.692637e48e743_infocdn__gt5zic96en2eaammikjfcf2dnhn8ieevgqvszhnfpng.png,,False,True,4,,,False,False,4,3,,5,False,False,5647058.82,193136951,True,,False
"Casa en venta en colina campestre, bogotá",$ 960.000.000,,170 m²,,4.0,,,Casa,VENTA,Balcón; Parqueadero; Estudio; Terraza,,https://www.fincaraiz.com.co/casa-en-venta-en-colina-campestre-bogota/193136951,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.692637e48e743_infocdn__gt5zic96en2eaammikjfcf2dnhn8ieevgqvszhnfpng.png,,False,True,4,,,False,False,4,3,,5,False,False,5647058.82,193136951,True,,False
,$ 960.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en cedro golf, bogotá",$ 680.000.000,,112 m²,,4.0,,,Apartamento,VENTA,Ascensor; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedro-golf-bogota/193128216,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6923a1ede9c4d_infocdn__75uxwyi0spmhhlk4s4tklkigptkxdjfr7kgvr7aejpg.jpg,,False,True,4,16,,True,True,4,,E,5,False,False,6071428.57,193128216,True,,False
"Apartamento en venta en cedro golf, bogotá",$ 680.000.000,,112 m²,,4.0,,,Apartamento,VENTA,Ascensor; Parqueadero; Depósito; Estudio,,https://www.fincaraiz.com.co/apartamento-en-venta-en-cedro-golf-bogota/193128216,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6923a1ede9c4d_infocdn__75uxwyi0spmhhlk4s4tklkigptkxdjfr7kgvr7aejpg.jpg,,False,True,4,16,,True,True,4,,E,5,False,False,6071428.57,193128216,True,,False
,$ 680.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en chapinero alto, bogotá",$ 560.000.000,,56 m²,,3.0,,,Apartamento,ARRIENDO,Ascensor; Balcón; Gimnasio; Vigilancia; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-alto-bogota/193130263,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6924b14b67644_infocdn__gr101125120250730075448jpeg.jpeg,,False,True,4,,,True,True,4,,,5,False,False,10000000.0,193130263,False,,False
"Apartamento en venta en chapinero alto, bogotá",$ 560.000.000,,56 m²,,3.0,,,Apartamento,ARRIENDO,Ascensor; Balcón; Gimnasio; Vigilancia; Depósito; Terraza,,https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-alto-bogota/193130263,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6924b14b67644_infocdn__gr101125120250730075448jpeg.jpeg,,False,True,4,,,True,True,4,,,5,False,False,10000000.0,193130263,False,,False
,$ 560.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
